NSURLQueryItem,NSObject
_NSDOConversationInfo,NSObject
NSXMLFidelityNode,NSXMLNode
LKCGColorCodingProxy,CACodingProxy
__NSInspectorBarItemController,NSObject
NSNavNodePopUpButton,NSPopUpButton
CUIPSLayerEffectsPreset,CUIShapeEffectPreset
CIDifferenceBlendMode,CIBlendModeFilter
NSBrowserColumnViewController,NSViewController
DSFileUbiquityObserver,NSObject
NSTextRulerOptions,NSObject
PFUbiquityTransactionLog,NSObject
BluetoothHIDDeviceController,NSObject
NSFilterObservationTransformer,NSObservationTransformer
OS_xpc_null,OS_xpc_object
_NSCollectionViewCachedSectionInfo,NSObject
NSScrollAnimationHelper,NSAnimationHelper
CoreWiFiBSSCoexistenceIE,CoreWiFiIE
ODModuleEntry,NSObject
BUCocoaWindowController,NSObject
NSLinguisticTagger,NSObject
NSDocumentRevisionsAuxiliaryWindow,NSWindow
NSLazyBrowserCell,NSBrowserCell
_NSIconAnimation,NSAnimation
CIDarkenBlendMode,CIBlendModeFilter
NSCTGlyphInfo,NSGlyphInfo
NSSQLCore,NSPersistentStore
NSTextView,NSText
MTLIOAccelResourcePool,NSObject
__NSCFArray,NSMutableArray
SFPeerDevice,NSObject
PAMemoryCategory,NSObject
NSProcessInfo,NSObject
NSTrackpadFeedbackPerformer,NSObject
FCRImage,NSObject
_NSBrowserHeaderClipView,NSClipView
MTLStructTypeInternal,MTLStructType
NSCachedTableCellView,NSControl
PARangeContainer,NSObject
__NSFinalizingBlock,__NSAutoBlock
_NSXPCConnectionRequestedReplyInfo,NSObject
CISourceInCompositing,_CICompositeFilter
NSSlider,NSControl
_NSTableUtilities,NSObject
NSNavFlippedView,NSView
CIDisplacementDistortion,CIFilter
NSKeyPathSpecifierExpression,NSExpression
_NSRubberBand,NSObject
_NSAccessibilityOverriddenAttributeUIElementValue,NSObject
__NSCFBackgroundDataTask,__NSCFBackgroundSessionTask
NSScriptEnumerationDescription,NSScriptValueTypeDescription
_NSThreadedPeriodicInvoker,_NSPeriodicInvoker
_PFEncodedString,_PFString
FINode,NSObject
LKCGImageCodingProxy,CACodingProxy
NSDocumentControllerOpening,NSObject
HIFilePresenter,NSObject
NSRulerLabelCell,NSTextFieldCell
AUAudioUnitBusArray,NSObject
CFPDCFDataBuffer,CFPDDataBuffer
BU_TCStringAutoReleaseHelper,NSObject
NSObservedValue,NSObject
PFUbiquityImportContext,NSObject
BluetoothHIDDevice,NSObject
_NSClassAndClassInfo,NSObject
NSHTTPCookieStorage,NSObject
NSNavBrowserTableView,NSBrowserTableView
NSURLFileTypeMappingsInternal,NSObject
NSColorProfile,NSObject
_NSToolbarTransitionGraphicsContext,NSBitmapGraphicsContext
CAMLWriter,NSObject
NSWindowControllerMoreIVars,NSObject
CIColorClamp,CIFilter
_NSScrollingConcurrentMainThreadSynchronizer,NSObject
SFLMutableListItem,SFLListItem
NSAttributeStoreMapping,NSPropertyStoreMapping
_NSViewAnimator_NSClipView,_NSViewAnimator
CBMutableDescriptor,CBDescriptor
MTLStructType,NSObject
NSUIHeartBeat,NSObject
__NSArrayReversed,NSArray
PAWSUpdate,NSObject
NSLazyBrowserList,NSMutableArray
PFUbiquitySafeSaveFile,NSObject
_NSCFTranslatedFileURLProtocol,NSURLProtocol
CWANQPWANMetrics,CWANQPElement
